auc,model_name,isTotalTrain,isInit,PATIENCE,len_allele,len_peptide,len_acid,EPOCH,BATCH_SIZE,LR,isL1Smooth,Dropout,threshold,l1,ita,HIDDEN_SIZE,LAYER_NUM,head
0.975848175,b512_DP0.3_l10.01_hidden256_layer1_ita0.1_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.1,256,1,6
0.975218798,b512_DP0.5_l10_hidden128_layer2_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.5,500,0,0.3,128,2,2
0.969415173,b512_DP0.1_l10_hidden256_layer2_ita0.3_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.3,256,2,2
0.954252679,b512_DP0.1_l10.001_hidden256_layer2_ita0.3_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.3,256,2,4
0.966444234,b512_DP0.1_l10.001_hidden256_layer1_ita0.2_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.2,256,1,2
0.971133918,b512_DP0.3_l10.001_hidden256_layer1_ita0.2_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.2,256,1,2
0.948810937,b512_DP0.1_l10_hidden128_layer2_ita0.3_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0,0.3,128,2,6
0.968256077,b512_DP0.3_l10.01_hidden256_layer1_ita0.1_head4,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.01,0.1,256,1,4
0.971391796,b512_DP0.1_l10.001_hidden128_layer1_ita0.2_head2,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.1,500,0.001,0.2,128,1,2
0.948522078,b512_DP0.3_l10.001_hidden128_layer2_ita0.3_head6,TRUE,TRUE,5,34,15,21,100,512,0.001,TRUE,0.3,500,0.001,0.3,128,2,6
